Date,Open,High,Low,Close,Adj Close,Volume
2020-09-29,209.350006,213.990005,205.539993,210.380005,203.965683,139695800
2020-10-06,208.820007,223.860001,204.820007,221.399994,214.649643,141080600
2020-10-13,222.720001,225.210007,213.720001,214.220001,207.688522,128789300
2020-10-20,215.800003,217.369995,208.100006,210.080002,203.674774,123821100
2020-10-27,211.589996,214.669998,199.619995,202.330002,196.161072,187124400
2020-11-03,203.889999,228.119995,203.119995,218.389999,211.731415,175530800
2020-11-10,214.500000,219.110001,209.720001,217.229996,210.606781,138654200
2020-11-17,216.100006,217.679993,208.160004,210.110001,203.703857,125846200
2020-11-24,209.589996,216.270004,208.860001,214.070007,208.086502,102569600
2020-12-01,214.509995,217.320007,212.800003,214.289993,208.300323,129035900
2020-12-08,213.970001,216.949997,209.110001,214.199997,208.212845,142235800
2020-12-15,215.169998,224.000000,212.240005,222.589996,216.368347,195076500
2020-12-22,222.690002,226.029999,220.800003,224.960007,218.672058,69795900
2020-12-29,226.309998,227.179993,214.809998,217.690002,211.605301,95747700
2021-01-05,217.259995,220.580002,211.940002,217.490005,211.410889,133435700
2021-01-12,216.500000,217.460007,212.029999,212.649994,206.706146,104563700
2021-01-19,213.750000,230.070007,212.630005,229.529999,223.114349,162292400
2021-01-26,231.860001,242.639999,230.080002,239.649994,232.951477,243968700
2021-02-02,241.300003,245.089996,238.690002,242.470001,235.692673,118637200
2021-02-09,241.869995,245.919998,240.889999,244.990005,238.142242,78063900
2021-02-16,245.029999,246.130005,232.399994,234.509995,227.955170,127017100
2021-02-23,230.330002,237.470001,227.880005,236.940002,230.847702,159253800
2021-03-02,237.009995,237.300003,224.259995,227.389999,221.543259,178710000
2021-03-09,232.880005,239.169998,231.669998,234.809998,228.772476,141423500
2021-03-16,236.279999,240.059998,229.350006,235.990005,229.922119,169045000
2021-03-23,237.490005,241.050003,231.550003,235.240005,229.191422,142027800
2021-03-30,233.529999,249.960007,231.100006,249.070007,242.665817,135664100
2021-04-06,247.610001,257.670013,246.880005,255.910004,249.329941,120752400
2021-04-13,257.260010,261.480011,255.160004,258.739990,252.087204,120623800
2021-04-20,257.820007,262.440002,255.639999,261.549988,254.824936,110585400
2021-04-27,261.579987,263.190002,249.000000,251.860001,245.384064,169078000
2021-05-04,250.970001,254.300003,244.690002,247.179993,240.824432,137481300
2021-05-11,244.550003,249.179993,238.070007,245.179993,238.875839,148821600
2021-05-18,246.270004,251.160004,238.600006,250.779999,244.331848,110983100
2021-05-25,251.770004,252.940002,249.250000,249.679993,243.821823,78172300
2021-06-01,251.229996,254.089996,243.000000,253.809998,247.854935,116288000
2021-06-08,255.160004,259.950012,252.509995,259.890015,253.792267,103106400
2021-06-15,259.769989,263.519989,254.419998,262.630005,256.467987,136722700
2021-06-22,262.720001,268.899994,262.399994,268.720001,262.415070,110860800
2021-06-29,268.869995,278.000000,267.980011,277.649994,271.135651,84777600
2021-07-06,278.029999,280.690002,274.299988,277.320007,270.813293,122292600
2021-07-13,277.519989,284.100006,274.450012,277.010010,270.510590,130960400
2021-07-20,278.029999,289.989990,276.260010,289.049988,282.268097,119952300
2021-07-27,289.429993,290.149994,282.950012,284.820007,278.137390,122551500
2021-08-03,285.420013,291.549988,284.000000,288.329987,281.565033,80677400
2021-08-10,288.799988,294.820007,285.200012,294.600006,287.687897,87890400
2021-08-17,292.390015,305.839996,288.640015,304.649994,297.502106,135386600
2021-08-24,305.019989,305.649994,296.829987,303.589996,297.034546,94801800
2021-08-31,304.420013,305.190002,300.179993,301.140015,294.637421,76302600
2021-09-07,301.010010,302.140015,294.079987,296.989990,290.577026,95440500
2021-09-14,299.559998,305.320007,289.519989,294.299988,287.945129,149411700
2021-09-21,295.690002,300.899994,292.940002,294.170013,287.817932,106165700
2021-09-28,289.799988,290.779999,280.250000,283.109985,276.996735,163320500
2021-10-05,284.049988,297.970001,284.049988,294.230011,287.876648,110410400
2021-10-12,295.339996,308.209991,292.350006,307.290009,300.654633,116767400
2021-10-19,308.350006,311.089996,306.109985,308.130005,301.476471,86141100
2021-10-26,311.000000,332.000000,308.600006,329.369995,322.257874,168833100
2021-11-02,330.309998,338.790009,329.510010,336.989990,329.713318,115446500
2021-11-09,337.109985,338.720001,329.920013,336.070007,328.813202,104212100
2021-11-16,335.679993,349.670013,335.510010,339.829987,332.491943,115398200
2021-11-23,337.049988,339.450012,328.119995,336.630005,329.963654,104869600
2021-11-30,335.320007,339.279999,318.029999,326.190002,319.730408,178801100
2021-12-07,331.640015,343.790009,330.100006,339.399994,332.678772,144992200
2021-12-14,333.220001,336.760010,317.250000,319.910004,313.574738,190931400
