Date,Open,High,Low,Close,Adj Close,Volume
2020-09-29,116.070747,117.877632,113.594643,116.644356,98.464272,15224635
2020-10-06,117.189293,129.541107,116.242828,121.615677,102.660759,47033808
2020-10-13,121.003822,121.749519,118.403442,120.000000,101.296913,25845196
2020-10-20,114.531548,114.866158,106.921608,107.284897,90.563576,52518614
2020-10-27,107.217972,108.824089,101.261948,107.944550,91.120407,36983004
2020-11-03,108.986618,114.474190,106.271507,110.449333,93.234818,30488808
2020-11-10,111.558319,113.336517,108.489487,113.154877,96.903748,27600384
2020-11-17,112.428299,115.219887,110.793503,114.808792,98.320122,23906958
2020-11-24,115.544930,119.799232,115.497131,118.087952,101.128334,20886109
2020-12-01,118.451241,121.778206,117.026772,119.216064,102.094421,28649208
2020-12-08,119.808792,122.074570,118.040154,118.097511,101.136513,27450282
2020-12-15,118.919693,121.003822,116.367111,117.963669,101.021881,27554569
2020-12-22,117.887192,121.032501,117.026772,119.330788,102.192657,12976990
2020-12-29,119.837479,120.487572,117.629066,118.489487,101.472206,16339461
2021-01-05,119.512428,126.080307,119.130020,122.925430,105.271042,30184212
2021-01-12,123.413002,124.435944,120.898659,122.743790,105.115509,24932037
2021-01-19,123.594643,126.424477,112.198853,113.365204,97.083862,78748946
2021-01-26,113.938812,119.302101,113.212234,115.239006,98.688545,51255360
2021-02-02,114.110901,118.527725,112.925430,118.173996,101.202026,29364462
2021-02-09,116.539200,117.982796,114.808792,115.487572,98.901428,19703084
2021-02-16,114.866158,115.803062,113.173996,115.544930,100.272797,29763826
2021-02-23,115.602295,118.881454,113.652008,115.430206,100.173241,32225796
2021-03-02,115.430206,121.271507,113.537285,119.321220,103.549942,35758138
2021-03-09,119.885277,123.087952,118.699806,122.925430,106.677757,26604383
2021-03-16,122.638626,125.239006,121.739960,124.808792,108.312195,30114548
2021-03-23,124.703636,131.042068,124.063095,129.885284,112.717705,25214562
2021-03-30,129.885284,130.678772,126.453156,129.952194,112.775780,20167717
2021-04-06,129.617584,129.770554,127.896751,128.671127,111.664040,18265356
2021-04-13,127.151054,128.202682,124.646271,127.265778,110.444435,32714592
2021-04-20,131.042068,138.374756,130.688339,135.344162,117.455048,45770659
2021-04-27,135.458893,142.198853,134.369019,138.384323,120.093391,27835838
2021-05-04,138.059280,141.978973,137.982788,139.741867,121.271507,34351476
2021-05-11,138.613770,139.388138,134.933075,138.728485,121.737228,25840698
2021-05-18,138.412994,139.292542,134.722748,138.355637,121.410057,20468547
2021-05-25,138.546844,138.623322,136.749527,137.418732,120.587883,15884452
2021-06-01,138.623322,142.198853,137.428299,141.510513,124.178535,16647717
2021-06-08,141.606125,146.118546,141.606125,143.432129,125.864761,22933551
2021-06-15,143.260040,143.317398,136.749527,140.200760,123.029198,25314873
2021-06-22,140.076477,140.822174,138.212234,138.900574,121.888252,17502090
2021-06-29,138.871887,141.013382,133.326965,133.862335,117.467072,26328762
2021-07-06,133.833649,135.736145,131.070740,134.722748,118.222099,26032325
2021-07-13,134.722748,134.799240,130.219879,131.854691,115.705345,24998459
2021-07-20,136.711288,138.546844,132.600388,136.491394,119.774147,31851118
2021-07-27,136.261948,137.323135,134.598465,135.200760,118.641571,15498373
2021-08-03,135.659653,138.336517,134.770554,135.038239,118.498955,19249643
2021-08-10,135.000000,137.418732,134.168259,137.275330,121.848915,17095719
2021-08-17,136.711288,136.864243,131.175903,133.479919,118.480019,17198333
2021-08-24,133.632889,134.608032,132.313583,132.858505,117.928429,11853377
2021-08-31,133.403442,134.741867,132.839386,133.441681,118.446091,11868230
2021-09-07,133.508606,133.642441,130.975143,132.074570,117.232597,18721204
2021-09-14,132.313583,132.476105,126.940727,128.403442,113.974014,21708893
2021-09-21,129.168259,132.954117,127.093689,132.466537,117.580513,17741414
2021-09-28,133.049713,139.579346,130.439774,137.772461,122.290192,29147941
2021-10-05,138.384323,138.623322,134.694077,136.166351,120.864563,23695457
2021-10-12,135.956024,138.565964,133.518158,136.061188,120.771194,20525345
2021-10-19,134.875717,136.653915,121.042068,122.026772,108.313927,62709269
2021-10-26,121.912048,122.657745,118.393883,120.726578,107.159843,35375301
2021-11-02,120.745697,124.779999,119.416824,124.540001,110.544724,30017346
2021-11-09,122.559998,122.900002,118.309998,118.870003,105.511902,28614800
2021-11-16,118.919998,119.900002,115.190002,116.470001,104.761154,25637400
2021-11-23,116.790001,119.610001,114.559998,118.500000,106.587059,20405400
2021-11-30,117.500000,121.150002,116.449997,119.910004,107.855324,31893800
2021-12-07,120.480003,125.330002,120.070000,122.580002,110.256897,27093400
2021-12-14,122.349998,128.639999,122.180000,127.059998,114.286522,33307000
2021-12-21,127.660004,131.649994,127.599998,131.619995,118.388100,16722100
2021-12-28,131.600006,136.289993,131.589996,136.039993,122.363747,18811200
2022-01-04,136.100006,142.199997,132.509995,135.029999,121.455284,36835900
2022-01-11,130.520004,136.050003,127.970001,134.210007,120.717712,26635900
2022-01-18,132.949997,133.899994,124.190002,128.820007,115.869591,34019600
2022-01-25,129.139999,137.339996,128.300003,133.570007,120.142075,44879500
2022-02-01,133.759995,138.820007,132.500000,137.240005,123.443115,25565400
2022-02-08,137.229996,138.350006,129.070007,130.149994,117.065865,25075400
2022-02-15,130.639999,131.679993,123.610001,124.349998,113.196243,20675800
2022-02-22,124.199997,125.000000,118.809998,122.510002,111.521278,27217500
2022-03-01,122.669998,127.910004,120.699997,126.070000,114.761963,24421100
2022-03-08,126.620003,128.350006,122.690002,123.940002,112.823021,22026700
2022-03-15,124.000000,129.740005,123.220001,128.100006,116.609886,22836500
2022-03-22,128.500000,131.500000,127.800003,131.470001,119.677597,14599500
2022-03-29,132.039993,133.080002,128.059998,130.270004,118.585236,19510100
2022-04-05,129.850006,131.229996,126.180000,126.370003,115.035049,16949400
2022-04-12,126.419998,130.580002,124.910004,126.169998,114.852982,17024300
2022-04-19,126.080002,141.880005,126.000000,139.100006,126.623215,48009800
2022-04-26,139.000000,139.869995,130.889999,133.039993,121.106773,23091800
2022-05-03,133.000000,137.990005,131.990005,134.440002,122.381203,30532900
2022-05-10,135.000000,136.509995,128.429993,135.029999,124.409332,27773800
2022-05-17,137.190002,138.369995,125.800003,131.169998,120.852928,26701600
2022-05-24,130.570007,139.740005,130.419998,139.270004,128.315872,16026300
2022-05-31,138.199997,144.729996,136.809998,142.880005,131.641891,24628500
2022-06-07,142.600006,142.979996,133.759995,135.110001,124.483055,20629300
2022-06-14,135.000000,138.449997,132.850006,135.020004,124.400131,27569600
2022-06-21,135.899994,143.830002,135.899994,142.800003,131.568207,27857700
2022-06-28,142.919998,144.160004,139.259995,141.119995,130.020325,17116200
2022-07-05,139.970001,141.869995,135.270004,141.000000,129.909790,20133000
2022-07-12,140.839996,141.550003,135.020004,138.130005,127.265503,25408000
2022-07-19,131.580002,132.559998,125.129997,128.539993,118.429817,62717500
2022-07-26,128.259995,132.699997,127.580002,132.039993,121.654518,21663500
2022-08-02,132.199997,133.350006,130.509995,132.610001,122.179703,17079600
2022-08-09,129.919998,135.190002,129.119995,134.929993,124.317207,16220000
2022-08-16,134.600006,139.339996,134.449997,135.550003,126.461952,17408300
2022-08-23,135.369995,136.100006,129.570007,130.309998,121.573273,16671500
2022-08-30,130.559998,130.770004,127.239998,127.790001,119.222221,12335100
2022-09-06,127.800003,130.990005,126.279999,130.660004,121.899803,15746200
2022-09-13,129.139999,129.910004,123.830002,127.730003,119.166252,27347700
2022-09-20,126.900002,127.839996,121.739998,122.010002,113.829758,19457000
2022-09-27,122.599998,123.949997,118.610001,121.510002,113.363281,22539100
2022-10-04,122.800003,126.459999,117.040001,117.750000,109.855370,23343300
2022-10-11,117.459999,122.879997,115.550003,121.519997,113.372597,22440400
2022-10-18,123.000000,133.110001,121.820000,132.690002,123.793709,37462200
2022-10-25,132.000000,138.860001,131.300003,138.289993,129.018234,25970600
2022-11-01,138.250000,140.169998,133.970001,138.339996,129.064880,21614600
2022-11-08,139.000000,146.080002,136.940002,144.199997,134.531998,26316600
2022-11-15,144.080002,148.309998,142.000000,146.679993,138.477310,20264200
2022-11-22,147.600006,150.460007,145.940002,146.179993,138.005280,16333600
2022-11-29,145.910004,150.009995,145.669998,147.410004,139.166489,19312800
2022-12-06,147.300003,149.210007,146.289993,149.210007,140.865845,16565000
2022-12-13,150.369995,153.210007,137.199997,138.869995,131.104080,34821700
2022-12-20,138.839996,143.089996,138.339996,141.649994,133.728592,14379800
2022-12-27,141.729996,142.809998,139.449997,140.889999,133.011108,10477100
2023-01-03,141.100006,145.470001,140.009995,143.550003,135.522369,17636100
2023-01-10,143.610001,146.660004,142.899994,145.889999,137.731506,10592400
2023-01-17,146.419998,147.179993,139.750000,141.860001,133.926865,27317700
2023-01-24,141.250000,142.750000,132.979996,135.300003,127.733711,42822400
2023-01-31,135.500000,136.949997,132.800003,136.179993,128.564499,27340100
2023-02-07,135.669998,137.389999,133.339996,137.350006,129.669083,21702700
2023-02-14,137.050003,137.240005,133.889999,135.020004,129.035095,12140600
2023-02-21,134.000000,134.389999,128.860001,130.490005,124.705910,16960100
2023-02-28,130.550003,130.860001,127.709999,130.190002,124.419197,18235400
2023-03-07,130.279999,130.419998,124.849998,125.580002,120.013542,25966800
2023-03-14,126.489998,126.639999,121.709999,125.940002,120.357582,62531300
2023-03-21,126.900002,130.259995,122.599998,129.309998,123.578201,22393600
2023-03-28,129.179993,132.610001,128.800003,132.059998,126.206306,18095100
2023-04-04,131.990005,132.610001,129.240005,131.029999,125.221970,11946500
2023-04-11,130.580002,131.100006,126.000000,127.820000,122.154251,20554700
2023-04-18,128.139999,130.979996,124.559998,125.400002,119.841515,30727100
2023-04-25,124.900002,127.250000,124.760002,126.089996,120.500938,19336000
2023-05-02,126.300003,126.449997,121.760002,123.400002,117.930176,22102300
2023-05-09,121.900002,123.690002,120.550003,123.360001,117.891945,19651900
2023-05-16,123.349998,128.289993,122.449997,127.500000,123.509911,18174000
2023-05-23,127.239998,129.660004,125.010002,128.889999,124.856415,18223300
2023-05-30,129.559998,133.580002,127.459999,132.639999,128.489044,28834800
2023-06-06,132.429993,136.619995,131.880005,136.419998,132.150742,21674500
2023-06-13,136.509995,139.470001,136.000000,137.479996,133.177582,19727900
2023-06-20,136.360001,137.229996,129.179993,131.339996,127.229729,31955700
2023-06-27,131.300003,135.029999,130.830002,133.669998,129.486816,15327000
2023-07-04,133.320007,134.309998,131.550003,132.899994,128.740906,11814400
2023-07-11,133.660004,135.330002,132.570007,134.240005,130.039001,15906900
2023-07-18,134.710007,140.320007,134.289993,139.539993,135.173126,29602200
2023-07-25,139.419998,144.600006,139.039993,144.179993,139.667908,26973300
2023-08-01,144.250000,146.500000,142.169998,146.179993,141.605316,21368800
2023-08-08,145.699997,146.149994,141.800003,141.910004,137.468964,20215700
2023-08-15,141.500000,142.660004,139.759995,142.279999,139.413467,17536500
2023-08-22,142.660004,146.740005,141.300003,146.020004,143.078110,16238000
2023-08-29,146.300003,148.100006,145.619995,147.940002,144.959427,11636900
2023-09-05,147.910004,149.000000,147.119995,148.380005,145.390564,16992800
2023-09-12,147.919998,148.000000,145.059998,145.089996,142.166855,18548100
2023-09-19,145.000000,151.929993,144.660004,146.479996,143.528839,23778600
2023-09-26,145.509995,146.169998,139.610001,140.800003,137.963287,24026600
2023-10-03,140.869995,142.940002,139.990005,142.199997,139.335083,15011400
2023-10-10,142.600006,143.419998,138.270004,139.210007,136.405319,17392700
2023-10-17,137.119995,140.619995,135.869995,136.380005,133.632339,21139800
2023-10-24,136.740005,144.699997,136.050003,142.630005,139.756424,30974000
2023-10-31,143.000000,149.229996,142.589996,148.970001,145.968674,23351900
2023-11-07,149.029999,149.679993,145.279999,148.100006,145.116211,16407400
2023-11-14,149.449997,154.679993,149.050003,154.350006,152.955536,20558600
